Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2063.75805664,2026-05-31,2026-08-21
2,Man City,ENG,1,1970.85375977,2026-07-05,2026-08-23
3,Paris SG,FRA,1,1967.87890625,2026-07-05,2026-08-23
4,Barcelona,ESP,1,1951.58850098,2026-07-05,2026-08-27
5,Real Madrid,ESP,1,1922.9119873,2026-07-05,2026-08-26
6,Aston Villa,ENG,1,1920.97021484,2026-07-05,2026-08-23
7,Man United,ENG,1,1915.31591797,2026-07-05,2026-08-22
8,Liverpool,ENG,1,1910.7989502,2026-07-05,2026-08-23
9,Inter,ITA,1,1888.60217285,2026-07-05,2026-08-22
10,Bournemouth,ENG,1,1871.96984863,2026-07-05,2026-08-23
11,Brighton,ENG,1,1842.01049805,2026-07-05,2026-08-23
12,Newcastle,ENG,1,1837.53125,2026-07-05,2026-08-23
13,Brentford,ENG,1,1836.59033203,2026-07-05,2026-08-22
14,Dortmund,GER,1,1834.76879883,2026-07-05,2026-08-29
15,Chelsea,ENG,1,1831.10351562,2026-07-05,2026-08-24
16,Atletico,ESP,1,1827.67529297,2026-07-05,2026-08-19
17,Benfica,POR,0,1823.50878906,2026-07-24,2026-07-30
18,Forest,ENG,1,1822.16992188,2026-07-05,2026-08-22
19,Fulham,ENG,1,1813.09570312,2026-07-05,2026-08-24
20,Leverkusen,GER,1,1804.02624512,2026-07-05,2026-08-29
21,Crystal Palace,ENG,1,1803.82470703,2026-07-05,2026-08-22
22,Everton,ENG,1,1803.43054199,2026-07-05,2026-08-22
23,Leeds,ENG,1,1797.38867188,2026-07-05,2026-08-22
24,Roma,ITA,1,1793.45056152,2026-07-05,2026-08-24
25,Napoli,ITA,1,1780.29577637,2026-07-05,2026-08-22
26,Tottenham,ENG,1,1777.30895996,2026-07-05,2026-08-22
27,Juventus,ITA,1,1772.25610352,2026-07-05,2026-08-23
28,West Ham,ENG,2,1768.80187988,2026-07-05,2026-08-16
29,Lens,FRA,1,1767.04321289,2026-07-05,2026-08-22
30,Atalanta,ITA,1,1763.51818848,2026-07-05,2026-08-23
31,RB Leipzig,GER,1,1761.90356445,2026-07-05,2026-08-29
32,Como,ITA,1,1760.02868652,2026-07-05,2026-08-22
33,Villarreal,ESP,1,1759.34484863,2026-07-05,2026-08-16
34,PSV,NED,1,1759.1348877,2026-07-05,2026-08-08
35,Brugge,BEL,1,1757.43835449,2026-07-05,2026-08-07
36,Milan,ITA,1,1750.04199219,2026-07-05,2026-08-23
37,Betis,ESP,1,1747.13098145,2026-07-05,2026-08-25
38,Lille,FRA,1,1743.70898438,2026-07-05,2026-08-23
39,Sunderland,ENG,1,1735.93017578,2026-07-05,2026-08-22
40,Lyon,FRA,1,1731.61804199,2026-07-05,2026-08-22
41,Freiburg,GER,1,1724.91357422,2026-07-05,2026-08-30
42,Monaco,FRA,1,1717.51843262,2026-07-05,2026-08-23
43,St Gillis,BEL,1,1716.76196289,2026-07-05,2026-08-08
44,Marseille,FRA,1,1716.74279785,2026-07-05,2026-08-21
45,Rennes,FRA,1,1716.11889648,2026-07-05,2026-08-23
46,Strasbourg,FRA,1,1710.80419922,2026-07-05,2026-08-21
47,Bodoe Glimt,NOR,1,1708.89233398,2026-07-27,2026-07-31
48,Rayo Vallecano,ESP,1,1707.34008789,2026-07-05,2026-08-15
49,Lazio,ITA,1,1703.16967773,2026-07-05,2026-08-24
50,Bologna,ITA,1,1701.2779541,2026-07-05,2026-08-24
51,Celta,ESP,1,1700.7767334,2026-07-05,2026-08-16
52,Hoffenheim,GER,1,1700.35388184,2026-07-05,2026-08-29
53,Braga,POR,0,1698.91125488,2026-07-23,2026-07-30
54,Valencia,ESP,1,1697.41491699,2026-07-05,2026-08-25
55,Midtjylland,DEN,1,1687.3840332,2026-07-27,2026-07-30
56,Galatasaray,TUR,1,1684.27087402,2026-07-05,2026-08-30
57,Wolves,ENG,2,1679.69335938,2026-07-05,2026-08-14
58,Bilbao,ESP,1,1677.90075684,2026-07-05,2026-08-27
59,Mainz,GER,1,1671.92541504,2026-07-05,2026-08-29
60,Fiorentina,ITA,1,1670.17321777,2026-07-05,2026-08-24
61,Sociedad,ESP,1,1669.46520996,2026-07-05,2026-08-26
62,Burnley,ENG,2,1666.33666992,2026-07-05,2026-08-16
63,Getafe,ESP,1,1664.0748291,2026-07-05,2026-08-15
64,Frankfurt,GER,1,1663.77990723,2026-07-05,2026-08-29
65,Coventry,ENG,1,1661.4777832,2026-07-05,2026-08-21
66,Zenit,RUS,1,1657.19775391,2026-07-05,2026-08-30
67,Fenerbahce,TUR,1,1655.55847168,2026-07-30,2026-08-15
68,Slavia Praha,CZE,1,1654.11633301,2026-07-27,2026-08-01
69,Toulouse,FRA,1,1652.31567383,2026-07-05,2026-08-22
70,Osasuna,ESP,1,1650.25793457,2026-07-05,2026-08-16
71,Udinese,ITA,1,1645.94152832,2026-07-05,2026-08-22
72,Mallorca,ESP,1,1642.77294922,2026-07-05,2026-08-30
73,Gladbach,GER,1,1640.84326172,2026-07-05,2026-08-29
74,AEK,GRE,1,1640.65856934,2026-07-05,2026-08-22
75,Ipswich,ENG,1,1639.99816895,2026-07-05,2026-08-22
76,Lorient,FRA,1,1639.05737305,2026-07-05,2026-08-22
77,Levante,ESP,1,1638.74023438,2026-07-05,2026-08-16
78,Augsburg,GER,1,1636.4465332,2026-07-05,2026-08-30
79,Southampton,ENG,2,1636.34631348,2026-07-05,2026-08-16
80,Girona,ESP,1,1635.8059082,2026-07-05,2026-08-30
81,Alaves,ESP,1,1634.98181152,2026-07-05,2026-08-15
82,FC Krasnodar,RUS,1,1632.22900391,2026-07-05,2026-08-30
83,Viking,NOR,1,1631.9107666,2026-07-27,2026-08-01
84,Espanyol,ESP,1,1629.45593262,2026-07-05,2026-08-16
85,Paris FC,FRA,1,1629.32727051,2026-07-05,2026-08-22
86,Sevilla,ESP,1,1625.92333984,2026-07-05,2026-08-15
87,Auxerre,FRA,1,1624.11157227,2026-07-05,2026-08-22
88,Torino,ITA,1,1624.05871582,2026-07-05,2026-08-23
89,Elche,ESP,1,1623.40344238,2026-07-05,2026-08-17
90,Sassuolo,ITA,1,1622.01708984,2026-07-05,2026-08-23
91,Brest,FRA,1,1620.84436035,2026-07-05,2026-08-22
